Config: rmsprop, lambda=1.0, batch size=64, epochs=2

Using TensorFlow backend.
Reference model built
Secondary model built
Total number of iterations: 664
2018-06-24 08:44:50.041039: W tensorflow/core/common_runtime/bfc_allocator.cc:219] Allocator (GPU_0_bfc) ran out of memory trying to allocate 1.33GiB. The caller indicates that this is not a failure, but may mean that there could be performance gains if more memory were available.
2018-06-24 08:44:50.241776: W tensorflow/core/common_runtime/bfc_allocator.cc:219] Allocator (GPU_0_bfc) ran out of memory trying to allocate 2.40GiB. The caller indicates that this is not a failure, but may mean that there could be performance gains if more memory were available.
2018-06-24 08:44:50.397448: W tensorflow/core/common_runtime/bfc_allocator.cc:219] Allocator (GPU_0_bfc) ran out of memory trying to allocate 2.22GiB. The caller indicates that this is not a failure, but may mean that there could be performance gains if more memory were available.
2018-06-24 08:44:50.776597: W tensorflow/core/common_runtime/bfc_allocator.cc:219] Allocator (GPU_0_bfc) ran out of memory trying to allocate 2.25GiB. The caller indicates that this is not a failure, but may mean that there could be performance gains if more memory were available.
2018-06-24 08:44:50.944945: W tensorflow/core/common_runtime/bfc_allocator.cc:219] Allocator (GPU_0_bfc) ran out of memory trying to allocate 2.58GiB. The caller indicates that this is not a failure, but may mean that there could be performance gains if more memory were available.
2018-06-24 08:44:51.651344: W tensorflow/core/common_runtime/bfc_allocator.cc:219] Allocator (GPU_0_bfc) ran out of memory trying to allocate 3.05GiB. The caller indicates that this is not a failure, but may mean that there could be performance gains if more memory were available.
2018-06-24 08:44:52.301247: W tensorflow/core/common_runtime/bfc_allocator.cc:219] Allocator (GPU_0_bfc) ran out of memory trying to allocate 3.45GiB. The caller indicates that this is not a failure, but may mean that there could be performance gains if more memory were available.
2018-06-24 08:44:52.551733: W tensorflow/core/common_runtime/bfc_allocator.cc:219] Allocator (GPU_0_bfc) ran out of memory trying to allocate 3.45GiB. The caller indicates that this is not a failure, but may mean that there could be performance gains if more memory were available.
Iteration 167, total loss: 7.172296524047852, discriminative loss: 7.172296524047852
Iteration 168, total loss: 7.096236228942871, discriminative loss: 7.096236228942871
Iteration 169, total loss: 7.194230556488037, discriminative loss: 7.194230556488037
Iteration 170, total loss: 7.092344284057617, discriminative loss: 7.092344284057617
Iteration 171, total loss: 7.207199573516846, discriminative loss: 7.207199573516846
Iteration 172, total loss: 7.308052062988281, discriminative loss: 7.308052062988281
Iteration 173, total loss: 7.272676467895508, discriminative loss: 7.272676467895508
Iteration 174, total loss: 7.327341556549072, discriminative loss: 7.327341556549072
Iteration 175, total loss: 7.191396713256836, discriminative loss: 7.191396713256836
Iteration 176, total loss: 7.125162124633789, discriminative loss: 7.125162124633789
Iteration 177, total loss: 7.076704025268555, discriminative loss: 7.076704025268555
Iteration 178, total loss: 7.233063697814941, discriminative loss: 7.233063697814941
Iteration 179, total loss: 7.026024341583252, discriminative loss: 7.026024341583252
Iteration 180, total loss: 7.213720321655273, discriminative loss: 7.213720321655273
Iteration 181, total loss: 7.235297203063965, discriminative loss: 7.235297203063965
Iteration 182, total loss: 7.090018272399902, discriminative loss: 7.090018272399902
Iteration 183, total loss: 7.182517051696777, discriminative loss: 7.182517051696777
Iteration 184, total loss: 7.117952823638916, discriminative loss: 7.117952823638916
2018-06-24 08:49:14.563170: W tensorflow/core/common_runtime/bfc_allocator.cc:219] Allocator (GPU_0_bfc) ran out of memory trying to allocate 1.72GiB. The caller indicates that this is not a failure, but may mean that there could be performance gains if more memory were available.
2018-06-24 08:49:14.563253: W tensorflow/stream_executor/cuda/cuda_dnn.cc:3797]
Iteration 185, total loss: 7.259458541870117, discriminative loss: 7.259458541870117
Iteration 186, total loss: 7.137977600097656, discriminative loss: 7.137977600097656
Iteration 187, total loss: 7.090696334838867, discriminative loss: 7.090696334838867
Iteration 188, total loss: 7.024868965148926, discriminative loss: 7.024868965148926
Iteration 189, total loss: 7.315617561340332, discriminative loss: 7.315617561340332
Iteration 190, total loss: 7.057235240936279, discriminative loss: 7.057235240936279
Iteration 191, total loss: 6.95578145980835, discriminative loss: 6.95578145980835
Iteration 192, total loss: 7.378491401672363, discriminative loss: 7.378491401672363
Iteration 193, total loss: 7.15910005569458, discriminative loss: 7.15910005569458
Iteration 194, total loss: 7.023214817047119, discriminative loss: 7.023214817047119
Iteration 195, total loss: 7.273993015289307, discriminative loss: 7.273993015289307
Iteration 196, total loss: 7.222832679748535, discriminative loss: 7.222832679748535
Iteration 197, total loss: 7.206550598144531, discriminative loss: 7.206550598144531
Iteration 198, total loss: 7.314508438110352, discriminative loss: 7.314508438110352
Iteration 199, total loss: 7.215528964996338, discriminative loss: 7.215528964996338
Iteration 200, total loss: 7.204841613769531, discriminative loss: 7.204841613769531
Iteration 201, total loss: 6.953193187713623, discriminative loss: 6.953193187713623
Iteration 202, total loss: 7.112630367279053, discriminative loss: 7.112630367279053
Iteration 203, total loss: 7.086688995361328, discriminative loss: 7.086688995361328
Iteration 204, total loss: 7.120284557342529, discriminative loss: 7.120284557342529
Iteration 205, total loss: 7.1731038093566895, discriminative loss: 7.1731038093566895
Iteration 206, total loss: 7.102022647857666, discriminative loss: 7.102022647857666
Iteration 207, total loss: 7.285146713256836, discriminative loss: 7.285146713256836
Iteration 208, total loss: 7.121596813201904, discriminative loss: 7.121596813201904
Iteration 209, total loss: 7.415774345397949, discriminative loss: 7.415774345397949
Iteration 210, total loss: 7.077332496643066, discriminative loss: 7.077332496643066
Iteration 211, total loss: 7.053520202636719, discriminative loss: 7.053520202636719
Iteration 212, total loss: 7.2000298500061035, discriminative loss: 7.2000298500061035
Iteration 213, total loss: 7.199294090270996, discriminative loss: 7.199294090270996
Iteration 214, total loss: 7.159981727600098, discriminative loss: 7.159981727600098
Iteration 215, total loss: 7.1908721923828125, discriminative loss: 7.1908721923828125
Iteration 216, total loss: 7.033881187438965, discriminative loss: 7.033881187438965
Iteration 217, total loss: 7.193753242492676, discriminative loss: 7.193753242492676
Iteration 218, total loss: 7.1014933586120605, discriminative loss: 7.1014933586120605
Iteration 219, total loss: 7.37786865234375, discriminative loss: 7.37786865234375
Iteration 220, total loss: 7.212242126464844, discriminative loss: 7.212242126464844
Iteration 221, total loss: 7.131171226501465, discriminative loss: 7.131171226501465
Iteration 222, total loss: 7.172531604766846, discriminative loss: 7.172531604766846
Iteration 223, total loss: 7.141587734222412, discriminative loss: 7.141587734222412
Iteration 224, total loss: 7.256424903869629, discriminative loss: 7.256424903869629
Iteration 225, total loss: 7.146366596221924, discriminative loss: 7.146366596221924
Iteration 226, total loss: 7.059478759765625, discriminative loss: 7.059478759765625
Iteration 227, total loss: 7.116634845733643, discriminative loss: 7.116634845733643
Iteration 228, total loss: 7.279061794281006, discriminative loss: 7.279061794281006
Iteration 229, total loss: 7.213744640350342, discriminative loss: 7.213744640350342
Iteration 230, total loss: 7.082999229431152, discriminative loss: 7.082999229431152
Iteration 231, total loss: 7.146397590637207, discriminative loss: 7.146397590637207
Iteration 232, total loss: 7.05472993850708, discriminative loss: 7.05472993850708
Iteration 233, total loss: 7.247346878051758, discriminative loss: 7.247346878051758
Iteration 234, total loss: 7.035113334655762, discriminative loss: 7.035113334655762
Iteration 235, total loss: 7.155513763427734, discriminative loss: 7.155513763427734
Iteration 236, total loss: 7.146182060241699, discriminative loss: 7.146182060241699
Iteration 237, total loss: 7.209633827209473, discriminative loss: 7.209633827209473
Iteration 238, total loss: 7.113025665283203, discriminative loss: 7.113025665283203
Iteration 239, total loss: 7.242467880249023, discriminative loss: 7.242467880249023
Iteration 240, total loss: 7.184081077575684, discriminative loss: 7.184081077575684
Iteration 241, total loss: 7.157283306121826, discriminative loss: 7.157283306121826
Iteration 242, total loss: 7.275823593139648, discriminative loss: 7.275823593139648
Iteration 243, total loss: 7.107505798339844, discriminative loss: 7.107505798339844
Iteration 244, total loss: 7.255944728851318, discriminative loss: 7.255944728851318
Iteration 245, total loss: 7.252647876739502, discriminative loss: 7.252647876739502
Iteration 246, total loss: 7.135024070739746, discriminative loss: 7.135024070739746
Iteration 247, total loss: 7.124070644378662, discriminative loss: 7.124070644378662
Iteration 248, total loss: 7.0403151512146, discriminative loss: 7.0403151512146
Iteration 249, total loss: 7.324392318725586, discriminative loss: 7.324392318725586
Iteration 250, total loss: 7.13825798034668, discriminative loss: 7.13825798034668
Iteration 251, total loss: 7.120750904083252, discriminative loss: 7.120750904083252
Iteration 252, total loss: 7.0561370849609375, discriminative loss: 7.0561370849609375
Iteration 253, total loss: 7.170676231384277, discriminative loss: 7.170676231384277
Iteration 254, total loss: 7.108003616333008, discriminative loss: 7.108003616333008
Iteration 255, total loss: 6.983077049255371, discriminative loss: 6.983077049255371
Iteration 256, total loss: 7.275866985321045, discriminative loss: 7.275866985321045
Iteration 257, total loss: 7.357945442199707, discriminative loss: 7.357945442199707
Iteration 258, total loss: 7.3949737548828125, discriminative loss: 7.3949737548828125
Iteration 259, total loss: 7.132840633392334, discriminative loss: 7.132840633392334
Iteration 260, total loss: 7.146841049194336, discriminative loss: 7.146841049194336
Iteration 261, total loss: 7.3706159591674805, discriminative loss: 7.3706159591674805
Iteration 262, total loss: 6.995121479034424, discriminative loss: 6.995121479034424
Iteration 263, total loss: 7.189747333526611, discriminative loss: 7.189747333526611
Iteration 264, total loss: 7.29074239730835, discriminative loss: 7.29074239730835
Iteration 265, total loss: 7.066436290740967, discriminative loss: 7.066436290740967
Iteration 266, total loss: 7.058032035827637, discriminative loss: 7.058032035827637
Iteration 267, total loss: 7.0853190422058105, discriminative loss: 7.0853190422058105
Iteration 268, total loss: 7.256085395812988, discriminative loss: 7.256085395812988
Iteration 269, total loss: 7.096911430358887, discriminative loss: 7.096911430358887
Iteration 270, total loss: 7.04644775390625, discriminative loss: 7.04644775390625
Iteration 271, total loss: 7.161952495574951, discriminative loss: 7.161952495574951
Iteration 272, total loss: 6.958873748779297, discriminative loss: 6.958873748779297
Iteration 273, total loss: 7.2719340324401855, discriminative loss: 7.2719340324401855
Iteration 274, total loss: 7.15345573425293, discriminative loss: 7.15345573425293
Iteration 275, total loss: 7.004262924194336, discriminative loss: 7.004262924194336
Iteration 276, total loss: 7.139374732971191, discriminative loss: 7.139374732971191
Iteration 277, total loss: 7.0040693283081055, discriminative loss: 7.0040693283081055
Iteration 278, total loss: 7.085986137390137, discriminative loss: 7.085986137390137
Iteration 279, total loss: 7.195356369018555, discriminative loss: 7.195356369018555
Iteration 280, total loss: 7.082083702087402, discriminative loss: 7.082083702087402
Iteration 281, total loss: 7.040191650390625, discriminative loss: 7.040191650390625
Iteration 282, total loss: 7.1396565437316895, discriminative loss: 7.1396565437316895
Iteration 283, total loss: 7.118597507476807, discriminative loss: 7.118597507476807
Iteration 284, total loss: 7.406511306762695, discriminative loss: 7.406511306762695
Iteration 285, total loss: 7.202909469604492, discriminative loss: 7.202909469604492
Iteration 286, total loss: 7.116268157958984, discriminative loss: 7.116268157958984
Iteration 287, total loss: 6.949597358703613, discriminative loss: 6.949597358703613
Iteration 288, total loss: 7.114143371582031, discriminative loss: 7.114143371582031
Iteration 289, total loss: 6.9858598709106445, discriminative loss: 6.9858598709106445
Iteration 290, total loss: 7.211648941040039, discriminative loss: 7.211648941040039
Iteration 291, total loss: 7.162240028381348, discriminative loss: 7.162240028381348
Iteration 292, total loss: 7.151312828063965, discriminative loss: 7.151312828063965
Iteration 293, total loss: 7.185774326324463, discriminative loss: 7.185774326324463
Iteration 294, total loss: 7.217470645904541, discriminative loss: 7.217470645904541
Iteration 295, total loss: 7.219156265258789, discriminative loss: 7.219156265258789
Iteration 296, total loss: 7.163571834564209, discriminative loss: 7.163571834564209
Iteration 297, total loss: 7.193131446838379, discriminative loss: 7.193131446838379
Iteration 298, total loss: 7.42851448059082, discriminative loss: 7.42851448059082
Iteration 299, total loss: 7.254263877868652, discriminative loss: 7.254263877868652
Iteration 300, total loss: 7.196746349334717, discriminative loss: 7.196746349334717
Iteration 301, total loss: 7.1476545333862305, discriminative loss: 7.1476545333862305
Iteration 302, total loss: 7.108068943023682, discriminative loss: 7.108068943023682
Iteration 303, total loss: 7.108996391296387, discriminative loss: 7.108996391296387
Iteration 304, total loss: 7.039422512054443, discriminative loss: 7.039422512054443
Iteration 305, total loss: 7.213845252990723, discriminative loss: 7.213845252990723
Iteration 306, total loss: 7.288509845733643, discriminative loss: 7.288509845733643
Iteration 307, total loss: 7.125786781311035, discriminative loss: 7.125786781311035
Iteration 308, total loss: 7.158059597015381, discriminative loss: 7.158059597015381
Iteration 309, total loss: 7.263274192810059, discriminative loss: 7.263274192810059
Iteration 310, total loss: 7.225640773773193, discriminative loss: 7.225640773773193
Iteration 311, total loss: 7.096534729003906, discriminative loss: 7.096534729003906
Iteration 312, total loss: 7.231459617614746, discriminative loss: 7.231459617614746
Iteration 313, total loss: 7.133736610412598, discriminative loss: 7.133736610412598
Iteration 314, total loss: 7.095058917999268, discriminative loss: 7.095058917999268
Iteration 315, total loss: 7.212074279785156, discriminative loss: 7.212074279785156
Iteration 316, total loss: 7.215524196624756, discriminative loss: 7.215524196624756
Iteration 317, total loss: 7.263819694519043, discriminative loss: 7.263819694519043
Iteration 318, total loss: 7.017280578613281, discriminative loss: 7.017280578613281
Iteration 319, total loss: 7.192885875701904, discriminative loss: 7.192885875701904
Iteration 320, total loss: 7.083380222320557, discriminative loss: 7.083380222320557
Iteration 321, total loss: 7.176743984222412, discriminative loss: 7.176743984222412
Iteration 322, total loss: 7.410770893096924, discriminative loss: 7.410770893096924
Iteration 323, total loss: 7.249263286590576, discriminative loss: 7.249263286590576
Iteration 324, total loss: 7.136248588562012, discriminative loss: 7.136248588562012
Iteration 325, total loss: 7.082052707672119, discriminative loss: 7.082052707672119
Iteration 326, total loss: 7.322169780731201, discriminative loss: 7.322169780731201
Iteration 327, total loss: 7.2700276374816895, discriminative loss: 7.2700276374816895
